transaction_id,transaction_date,product_name,brand,room_category,connectivity_type,energy_efficiency_rating,unit_price,quantity_sold,total_revenue,customer_rating,region,is_returned
TXN-00001,2025-02-26,Smart Speaker,Aqara,Living Room,Wi-Fi,A,1611.11,18,28999.98,2.7,Region III,FALSE
TXN-00002,2025-05-15,Smart Oven,Philips,Kitchen,Matter,B,6385.38,8,51083.04,3.7,Mindanao,FALSE
TXN-00003,2025-05-26,Smart Bathroom Scale,Aqara,Bathroom,Bluetooth,B,1973.93,1,1973.93,2.3,Mindanao,FALSE
TXN-00004,2025-08-15,Smart Refrigerator,Samsung,Kitchen,Wi-Fi,A++,10966.26,9,98696.34,2,Region III,FALSE
TXN-00005,2025-10-31,Smart Speaker,Amazon,Living Room,Bluetooth,B,14398.46,18,259172.28,2.3,Mindanao,TRUE
TXN-00006,2025-05-26,Smart Refrigerator,Philips,Kitchen,Matter,A,12108.85,14,169523.9,3.8,NCR,FALSE
TXN-00007,2025-09-15,Smart TV,LG,Living Room,Bluetooth,A+,7675.87,2,15351.74,1.5,Visayas,FALSE
TXN-00008,2025-04-22,Smart Thermostat,Xiaomi,Bedroom,Matter,A++,8538.29,11,93921.19,3.7,Region IV-A,TRUE
TXN-00009,2025-02-12,Smart Bathroom Scale,Philips,Bathroom,Bluetooth,A++,13807.56,16,220920.96,4.8,Visayas,FALSE
TXN-00010,2025-02-08,Smart Speaker,LG,Living Room,Wi-Fi,B,12384.71,7,86692.97,3.5,Visayas,TRUE
TXN-00011,2025-11-08,Smart Refrigerator,Samsung,Kitchen,Wi-Fi,B,10985.26,19,208719.94,1.4,Region IV-A,FALSE
TXN-00012,2025-07-26,Smart Door Lock,TP-Link,Security,Matter,A++,14870.14,9,133831.26,4.8,Region III,TRUE
TXN-00013,2025-08-05,Smart Doorbell,LG,Security,Zigbee,B,3696.18,1,3696.18,1.3,Mindanao,TRUE
TXN-00014,2025-09-16,Smart Curtain Controller,Amazon,Bedroom,Zigbee,A,9790.3,1,9790.3,3.8,Visayas,FALSE
TXN-00015,2025-09-08,Smart Refrigerator,Xiaomi,Kitchen,Wi-Fi,A,831.48,13,10809.24,4.7,NCR,FALSE
TXN-00016,2025-10-31,Smart Bathroom Scale,Google,Bathroom,Bluetooth,C,6563.13,4,26252.52,4.3,Region IV-A,TRUE
TXN-00017,2025-11-03,Smart Refrigerator,Amazon,Kitchen,Matter,C,1347.26,12,16167.12,3.9,Region IV-A,TRUE
TXN-00018,2025-02-19,Smart Bulb,LG,Lighting,Zigbee,B,6357.47,11,69932.17,2.5,Mindanao,FALSE
TXN-00019,2025-09-01,Smart Bulb,Aqara,Lighting,Zigbee,A++,1086.85,16,17389.6,2.9,Region III,FALSE
TXN-00020,2025-12-10,Smart Curtain Controller,Samsung,Bedroom,Matter,B,8372.49,19,159077.31,3.5,NCR,FALSE
TXN-00021,2025-01-13,Smart Bulb,Amazon,Lighting,Zigbee,A,5108.44,4,20433.76,2.4,Mindanao,TRUE
TXN-00022,2025-11-12,Smart Thermostat,Philips,Bedroom,Matter,C,10743.46,8,85947.68,1.6,Mindanao,TRUE
TXN-00023,2025-03-09,Smart Bulb,LG,Lighting,Wi-Fi,A,7850.31,3,23550.93,3.4,NCR,FALSE
TXN-00024,2025-02-09,Smart Speaker,LG,Living Room,Wi-Fi,A,7672.81,1,7672.81,4.2,NCR,TRUE
TXN-00025,2025-03-08,Smart Bathroom Scale,Xiaomi,Bathroom,Wi-Fi,A++,7554.81,16,120876.96,1.3,NCR,FALSE
TXN-00026,2025-05-30,Smart Doorbell,Philips,Security,Wi-Fi,A++,4592.19,19,87251.61,2.8,Region III,FALSE
TXN-00027,2025-01-29,Smart Doorbell,Amazon,Security,Wi-Fi,A,1750.06,8,14000.48,3.8,NCR,FALSE
TXN-00028,2025-03-10,Smart Thermostat,Philips,Bedroom,Matter,A++,7090.49,13,92176.37,4.8,Mindanao,FALSE
TXN-00029,2025-03-27,Smart Oven,LG,Kitchen,Matter,C,9757.19,16,156115.04,4.3,Region III,FALSE
TXN-00030,2025-09-08,Smart Bathroom Scale,Philips,Bathroom,Wi-Fi,B,6118.8,14,85663.2,4,Visayas,FALSE
TXN-00031,2025-12-18,Smart Air Purifier,Amazon,Bedroom,Matter,A+,3513.19,13,45671.47,1.2,NCR,FALSE
TXN-00032,2025-09-05,Smart Thermostat,LG,Bedroom,Wi-Fi,A++,14671.31,4,58685.24,2.9,NCR,FALSE
TXN-00033,2025-09-09,Smart Speaker,Aqara,Living Room,Wi-Fi,A,14825.37,18,266856.66,3.8,Visayas,FALSE
TXN-00034,2025-12-15,Smart Speaker,Google,Living Room,Wi-Fi,A,5287.85,10,52878.5,2,Visayas,FALSE
TXN-00035,2025-07-06,Smart Air Purifier,Philips,Bedroom,Matter,B,11350.22,7,79451.54,4.3,Mindanao,TRUE
TXN-00036,2025-10-09,Smart Doorbell,Amazon,Security,Zigbee,A++,7232.46,7,50627.22,1.1,Visayas,FALSE
TXN-00037,2025-01-15,Smart Door Lock,TP-Link,Security,Z-Wave,A,13233.17,13,172031.21,2.1,NCR,FALSE
TXN-00038,2025-12-07,Smart Bathroom Scale,TP-Link,Bathroom,Wi-Fi,A++,3154.44,6,18926.64,3.5,Region IV-A,FALSE
